Location,Country,Region,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,Good Months,Latitude,Longitude,notes,
,Antigua,Caribbean,,,T,T,T,,,,,,,,,3,17.0746557,-61.8175207,,
Buenos Aires,Argentina,South America,T,,,,,,,,,T,T,T,,4,-34.6036844,-58.3815591,,
,Aruba,Caribbean,,,,,T,T,T,T,,,,,,4,12.52111,-69.968338,,
Melbourne,Australia,ANZA,,T,,,,,,,,,T,T,,3,-37.8136276,144.9630576,,
Western Oz,Australia,ANZA,T,T,T,T,,,,,,T,T,T,,7,-27.6728168,121.6283098,,
Whitsunday Islands,Australia,ANZA,,T,,T,T,,,,,,,,,3,-20.1862425,148.7268546,,
,Barbados,Caribbean,T,T,T,T,,,,,,,,,,4,13.193887,-59.543198,,
,Belize,North America,,T,T,T,,,,,,,,,,3,17.189877,-88.49765,,
Cumbuco,Brazil,South America,,,,,,,,,T,T,T,,,3,-3.6266648,-38.7286525,,
Iberaquera,Brazil,South America,S,S,S,,,,,,,,S,S,,5,-28.1213484,-48.6501428,,
Tucus,Brazil,South America,,,,,,,,,T,T,T,T,,4,-7.1154193,-44.3294126,,
,British Virgin Islands,Caribbean,T,T,T,,,,,,,,,,,3,18.420695,-64.639968,,
Banff,Canada,North America,,,,T,,,,,,,,,,1,51.1783972,-115.5708074,,
,Canada,North America,,,,,,,,,T,,,,,1,56.130366,-106.346771,,
,Cape Verde,Africa,,T,T,T,T,T,,T,,,,,,6,16.5388,-23.0418,,
Grand Cayman,Cayman Islands,Caribbean,R,R,R,R,R,,,,,R,R,R,,8,19.3221698,-81.2408689,,
Puclaro,Chile,South America,T,T,T,T,T,T,T,T,T,T,T,T,,12,-29.9973401,-70.8461843,,
,Chile,South America,,,,,,,,,,T,,,,1,-35.675147,-71.542969,,
Raratonga,Cook Islands,Pacific,,,,,,T,T,T,,,,,,3,-21.2292371,-159.7763491,,
Copal,Costa Rica,North America,T,T,T,,,,,,,,,T,,4,9.7839704,-83.7517545,,
Bol,Croatia,Europe,,,,,,T,T,T,,,,,,3,43.2622347,16.6541264,,
Varadero,Cuba,Caribbean,,I,I,I,,,,,,,,,,3,23.179858,-81.1885293,,
Paramali,Cyprus,Europe,,,,,,T,T,T,,,,,,3,34.6767664,32.7971649,,
Esbjerg,Denmark,Europe,,T,T,,,,,,,T,,,,3,55.476466,8.459405,,
