name,latitude,longitude
Antigua,17.0746557,-61.8175207
Argentina,-38.416097,-63.616672
Aruba,12.52111,-69.968338
Australia,-25.274398,133.775136
Australia,-25.274398,133.775136
Australia,-25.274398,133.775136
Barbados,13.193887,-59.543198
Belize,17.189877,-88.49765
Brazil,-14.235004,-51.92528
Brazil,-14.235004,-51.92528
Brazil,-14.235004,-51.92528
British Virgin Islands,18.420695,-64.639968
Canada,56.130366,-106.346771
Canada,56.130366,-106.346771
Cape Verde,16.5388,-23.0418
Cayman Islands,19.3133,-81.2546
Chile,-35.675147,-71.542969
Chile,-35.675147,-71.542969
Cook Islands,-21.236736,-159.777671
Costa Rica,9.748917,-83.753428
Croatia,45.1,15.2000001
Cuba,21.521757,-77.781167
Cyprus,35.126413,33.429859
Denmark,56.26392,9.501785
Dominican Republic,18.735693,-70.162651
Egypt,26.820553,30.802498
Egypt,26.820553,30.802498
Egypt,26.820553,30.802498
Fiji,-17.713371,178.065032
France,46.227638,2.213749
France,46.227638,2.213749
French Polynesia,-17.679742,-149.406843
French Polynesia,-17.679742,-149.406843
Germany,51.165691,10.451526
Greece,39.074208,21.824312
Greece,39.074208,21.824312
Greece,39.074208,21.824312
Greece,39.074208,21.824312
Hong Kong,22.3193039,114.1693611
India,20.593684,78.96288
Indonesia,-0.789275,113.921327
Iraq,33.223191,43.679291
Ireland,53.1423672,-7.6920536
Israel,31.046051,34.851612
Israel,31.046051,34.851612
Italy,41.87194,12.56738
Italy,41.87194,12.56738
Japan,36.204824,138.252924
Kenya,-0.023559,37.906193
Lebanon,33.854721,35.862285
Madagascar,-18.766947,46.869107
Martinique,14.641528,-61.024174
Mauritius,-20.348404,57.552152
Mexico,23.634501,-102.552784
Mexico,23.634501,-102.552784
Mexico,23.634501,-102.552784
Mexico,23.634501,-102.552784
Mexico,23.634501,-102.552784
Morocco,31.791702,-7.09262
Morocco,31.791702,-7.09262
Mozambique,-18.665695,35.529562
Namibia,-22.95764,18.49041
Netherlands,52.132633,5.291266
Netherlands Antilles,52.3763561,4.9245673
New Caledonia,-20.904305,165.618042
New Zealand,-40.900557,174.885971
Oman,21.4735329,55.975413
Peru,-9.189967,-75.015152
Philipines,12.879721,121.774017
Portugal,39.399872,-8.224454
Portugal,39.399872,-8.224454
Red Sea,20.280232,38.512573
Senegal,14.497401,-14.452362
Seychelles,-4.679574,55.491977
Solomon Islands,-9.64571,160.156194
South Africa,-30.559482,22.937506
South Africa,-30.559482,22.937506
Spain,40.463667,-3.74922
Spain,40.463667,-3.74922
Spain,40.463667,-3.74922
Spain,40.463667,-3.74922
Spain,40.463667,-3.74922
Sri Lanka,7.873054,80.771797
Sri Lanka,7.873054,80.771797
Sri Lanka,7.873054,80.771797
St. Lucia,13.909444,-60.978893
Taiwan,23.69781,120.960515
Tanzania,-6.369028,34.888822
Thailand,15.870032,100.992541
Tunisia,33.886917,9.537499
Turkey,38.963745,35.243322
UK,55.378051,-3.435973
UK,55.378051,-3.435973
Uruguay,-32.522779,-55.765835
USA,37.09024,-95.712891
USA,37.09024,-95.712891
USA,37.09024,-95.712891
USA,37.09024,-95.712891
USA,37.09024,-95.712891
Venezuela,6.42375,-66.58973
Venezuela,6.42375,-66.58973
Venezuela,6.42375,-66.58973
Venezuela,6.42375,-66.58973
Vietnam,14.058324,108.277199
Yemen,15.552727,48.516388
